VALUE;remove_RT;;
;ndonesiaRY @godham @habibthink Terus resiko Dari kerumunan itu yg mau nanggung pemerintah ?? berbuat adil dalam penegakan hukum tentang kerumunan itu lebih baik karena adil itu mendekatkan diri kepada ketaqwaan. Dan virus covid tdk bisa bedain mana kerumunan pilkada mana maulidan;;
;ani_DD @AShariefudin @ZEEE etikcom simple jawaban buat antum,Pilkada Udah dapet persetujuan:) disaat anda membuat kerumunan dimana mana kami tak melarang,lalu kenapa saat pilkada kalian seperti sok Bijak mengenai covid?lah kalian sendiri melanggar protokol,kok sok sokan bijak;;
;erizandra Ya aliran dananya jelas  Partai merah ikut menikmati  Bantuan covid dibuat pilkada ???;;
;okowi Klo HRS kasus kerumunan.Apa kabar kmpanye pilkada solo pak?Definisi krumunan saat covid  harus jelas.Brapa org jmlah krumunan yg tdkboleh dlm satu acara/dlm satu tempat. Krna ni definisi bisa luas,sperti Org kerja saat ngantor pun bisa disebut krumunan/blanja di mall/beriba;;
;ociotalker Malang, walikotanya hasil giveaway krn dua calon lain tertangkap KPK sebelum pilkada. Disaat covid sedang ganasnya malah sibuk membangun Malang Heritage yg menutup jalan provinsi di tengah kota hampir sebulan 😑;;
;omi_sup Demo d stuasi pandemi yg bermsalah. Jika ad pelanggaran, bwtku itu jls pembodohan. Ad fasilitas lain cara berpndapat.   Beda lg dgn Pilkada, tp tuk aturan prokesnya sm, ad satgas covid n panwas dsana. Klw ad pelanggaran d sanksi diskualifikasi..;;
;zwings @detikcom Iya. Memang kita bahas covid. Pilkada di masa pandemi covid ini juga gak bener. Inilah kebiasaan kaum ente, salah bukannya introspeksi malah nyari kesalahan orang.;si rs..;
;rnestprakasa Virus kok milih ya nest?? Virus apaan nihh?? Luu enak punya duit ngomong seenak lu..bayangin banyak orang gx kerja gara isu covid..kmaren pilkada, berita covid gx seserem ini....heraan guaaa...;r BACOT..;
;l_selan Virus covid tdk mengenal dia mw pilkada yg d atur uu! Atw maulidan nabi atw dugem atw pesta apapun itu!!! Jd @mohmahfudmd jgn diam aja!!!;;
;"Menjelang pilkada serentak Covid- ""serasa"" hilang. Setelah Pilkada eh langsung booming. Mungkin PU_ID bisa menjelaskan";;
;ribunnews *. PETUGAS PILKADA NASIONAL YANG TERKENA KASUS COVID MANA BERITA NYA, NYED?;;
;Sebutin, berapa KPPS yang reaktif dalam pilkada  ini. Sebutkan, berapaa?!!! 😴🤭 IVAcoid ***** Puluhan Remaja Mau Aksi  Dites COVID-, Ternyata Ada  Reaktif  https://t.co/BNNsxdvQJE;;
;l_selan @dannex Covid  takut ma pilkada;;
;nakbidadarii @TitiRusdi @TofaTofa_id Bukan pro/ngganya,tp casenya kan udah dikepolisian skrg dan denda jt.Nah mslh larangan natalan dan thn baruan ini jg sesuai himbauan pempus (LBP),apa iya mau makin meledak kasus harian covid stlh pilkada? Apa iya muslim sendiri jg ngga jumatan;;
;obby_karman @eka_Febrianz @ernestprakasa Nu nyieun bingung mah pamarentah keukeuh pilkada, rahayat keuh kumpul meledak we s covid. Saha NU riweuh? Kuring d antara na salaku patugas medis. Geus loba NU d rawat geus loba karyawan NU korban. Cape mang lah.;;
;oahOrwell @AdutSuradut @na_dirs @firdzaradiany hmmmm trus kenapa pilkada? Lo pikir segampang itu menunda pilkada? Udah dikasih tahu bagaimana agar mematuhi protokol covid. Dan selama ini pemilu aja enggak pernah orang orang itu berdesak desakan . Dibedakan ranah pemerintah pusat;roket. Bhkn mereka ngotot menyelenggarakan pilkada. Cc @temponewsroom  IndonesiaHumanRightsSOS;
;") Sementar yg takut tertular atau menularkan Covid- %, tidak ada calon yg meyakinkan %, &amp; sakit %. Ada pun yg menganggap pilkada tidak penting %.  https://t.co/OHchxOYKh PilkadaJurdilTaatProkes  oker__punk @nu_nu @orw";;
;") Survei lembaga penelitian Saiful Mujani Research &amp; Consulting ( SMRC) pun menyatakan, partisipasi masyarakat di Pilkada  terbilang tinggi meski digelar di tengah pandemi Covid-.  https://t.co/CXSpFORkP PilkadaJurdilTaatProkes  lfinfebri @kuy_produktif @Shontoloyo";;
;Meski dibayangi pandemi Covid-, di luar dugaan Pilkada  Desember  menarik partisipasi yang tinggi yakni  persen. emendagri @KPU_ID @bawaslu_RI @KopipaitKel opipolitik @putrijeni  PilkadaJurdilTaatProkes;;
;empodotco @msaid_didu Nape pilkada gak lu bubarin , yg kena covid banyak !!!;;
;Mereka banyak yang tidak ikut memilih bukan karena menilai buruk kualitas Pilkada, tapi karena khawatir tertular Covid-. emendagri @Fatma_Reyna @putrijeni @not_kirei @wisnu_asif @alifrahmadan  PilkadaJurdilTaatProkes;;
;"Survei lembaga penelitian Saiful Mujani Research &amp; Consulting (SMRC) menyatakan, partisipasi masyarakat pada Pilkada  terbilang tinggi meski diselenggarakan di tengah pandemi Covid-. PilkadaJurdilTaatProkes emendagri @KopipaitKel opipolitik @DibaaKey @QueenDibaaa";;
;Menurut SMRC hal ini menjawab mengapa partisipasi Pilkada tinggi meski di tengah pandemi Covid-. PilkadaJurdilTaatProkes emendagri @QueenDibaaa @atikaenta @putrijeni;;
;) Meski dibayangi pandemi Covid-, di luar dugaan Pilkada  Desember  menarik partisipasi yang tinggi yakni  persen. PilkadaJurdilTaatProkes ndonkri @nkripancasila @wedhusireng  https://t.co/YEQeTkjtx;;
;) Mereka banyak yang tidak ikut memilih bukan karena menilai buruk kualitas Pilkada, tapi karena khawatir tertular Covid-.  https://t.co/FvqxNfHMj PilkadaJurdilTaatProkes atakeApi @irvanthamuri @Langitnya_Cerah;SK.;
;aillaAsyiqah @rockstation ((alasan covid)) Kalo demo disuru bubarin alasan covid. Klo pilkada tetap berjalan tanpa alasan ya..?;;
;rnestprakasa Loe minoritas yg memancing kegaduhan, kami mayoritas aja pas hari besar, mau taraweh, jumatan aja dibatasi krna covid ggk ada buat gaduh sadar napa udh  thn pilkada berakhir tp sakit hatinya ggk habis emg hati loe udh ada titik hitam loe rnestprakasa 👎👎👎👎;;
;irtoID Covid ini ada sebelum pilkada.  Tiba² hilang saat pilakda.  Dan muncul lagi setelah pilkada;;
;achlanNashidik @jokowi Sudah terbukti melalui uji coba di Indonesia.... Vaksin ini memang sangat ampuh .... Kalau g percaya coba check media masa... Banyak kok.... .. . . . . . . . . . . . . Covid  tidak ada yg bisa mendekat karena dilindungi UU pilkada... Siap dijual ke luar neg;;
;uhammadprima @Toha @VIVAcoid Sy tetep mnduga,  slh satu pnyebab golput byk itu krn covid.  Org bilang, masy yg hidup makin mandiri jg bsa jfi pnyebab golput tinggi krn hidup ga brgantung ke pemerintah jdi ga peduli dgn pilkada/pemilu. Cm sy tdk tau,  andai yg golput itu - hasil p;;
;wahyudis gmn ya covid  tapi org campaign pilkada...anehkan;;
;_akbar_ @detikcom @detikhot Koq gak ngomong gini sama yg ikut pilkada cuma nanya karena covid gak tau mana pilkada mana maulid;;
;Pasca-Pilkada, Pemda Perlu Tingkatkan Testing Covid-  aanMustopa   https://t.co/SzjOxXbbG;residen belasungkawa?;
;aulana @rzkyazxxx @NkriSakLawase Basi! apa cebong apa buzzer, mikir aja indonesia lagi kyk gini, covid malah kampanye, malah pilkada, malah demo. Pada arogan semua. Pada ngerusak indonesia, ngerusak islam;;
;ompascom Apakah hasil Pilkada timbulnya claster baru Covid- ntu.;;
;epublikaonline berbahaya otak lo tuh . orang kena covid saat pilkada itu yg lebih fatal bego🤣🤣🤣;;
;zkyazxxx @NkriSakLawase aduh tweet sindiran utk para penyembah covid. pdhl kenyataan di lapangan demo mhs=jalan, pilkada=jalan, kampanye=jalan, pesta=jalan, mall=jalan, sekolah=gaboleh, demo utk hrs= gabole. jd negara maunya apa kalo dr awal udh gak adil dan gak komitmen. ketauan;;
;kriSakLawase Iyak betul itu..yg ttp maksa Pilkada gmn itu..padahal penyebaran Covid masih tinggi😋😋  https://t.co/AVtfkPfdcc;;
;etikcom @susipudjiastuti etikfinance Emang tujuannya itu covid di besar besarkan,,, memproyekkan rakyat agar keluar uang, buat bayar hutang,,, covid itu omong kosong, buktinya pilkada,,,;;
;Ya karena Pilkada! Dengan masa inkubasi covid - hari maka sekaranglah efeknya kelihatan.  Maka sangat sembrono pernyataan pak ohmahfudmd yg bilang tak ada korelasi antara Pilkada dan peningkatan kasus covid.;;
;idiljapnur @ustadtengkuzul Yg ngotot ngadain pilkada itu gimana ya,smpe kasus covid meningkat???? Preman juga donk;;
;Pilkada  Usai,  Komisioner KPU Samarinda Positif Terinfeksi Covid- - Follow emokrasicoid   https://t.co/QDJlPXEdM;;
;"idiljapnur @ustadtengkuzul Iya seperti ""NGOTOT""nya penyelenggaraan PILKADA, akhirnya ttp aja ada yg kena covid, bohong kalo ga ada korban. Noh walkot Tanggerang kalo ga salah Ken covid ye kaan ?   Yuk berimbang, kumpul yg Ono ga d omongin kumpul yg ini mslh, sama aja lah covid ga";;
;zzy_roz Itu foto sblum pilkada dan sblum covid  masuk di indonesia,...hati dengan berita hoax bang...😊🙏;pesertanya.;
;idiljapnur @ustadtengkuzul Yg nyuruh ngadain pilkada di masa pandemi siapa? Padahal udah di ingetin oleh ribuan rakyat untuk di tunda tapi masih aja ngotot akhirnya ribuan pegawai TPS tertular covid..;;
;Kasus Positif Covid -  di Kepulauan Selayar melonjak tajam pasca Pilkada. Data resmi total jumlah kasus positif mencapai  orang lebih dimana  diantaranya meninggal dunia. adioElshinta  https://t.co/CKcEoWIIH;;
;Si_Bee Klaster PILKADA udah belum?ada calon bupati meninggal krn covid kan?;;
;irtoID Hari ini melonjak bukan gara Pilkada, tapi gara kerumunan “Penjemput” di bandara, kok baru sekarang positive padahal udah lama ? Kemaren Covid nya cuti dulu abis pilkada baru aktif lg - Somebody said;;
;"Hari Setelah Coblosan Pilkada , Belum Ada Laporan Jajaran KPU &amp; Bawaslu Solo Terpapar Covid-  https://t.co/tcsbKTBRmv via usanews News BeritaTerkini Berita";;
;Partisipasi masyarakat pada Pilkada  terbilang tinggi meski diselenggarakan di tengah pandemi Covid-. okowi @kemendagri @KSPgoid  https://t.co/ZuueAak;;
;anis yaampun ko bisa yaa lagi covid gini pilkada kerumunan udah gitu yang disalahkan hanya FPI.;;
;Mahfud MD mengapresiasi pelaksanaan pilkada serentak  berhasil tidak ada klaster baru  penularan COVID-. emendagri @KPU_ID @bawaslu_RI  https://t.co/jZyNuGpfsV;ssa.;
;Dari hasil survei  menunjukkan tingkat partisipasi di pilkada lalu cukup tinggi meskipun digelar saat pandemi Covid-. Bahkan, partisipasinya lebih tinggi dibanding tahun . emendagri   https://t.co/LrzvrRE;;
;Dari hasil survei tersebut menunjukkan tingkat partisipasi di pilkada lalu cukup tinggi meskipun digelar saat pandemi Covid-. Bahkan, partisipasinya lebih tinggi dibanding tahun . okowi @kemendagri @KPU_ID @bawaslu_RI @KSPgoid  https://t.co/hfwLvx;;
;Survei SMRC: Partisipasi Masyarakat di Pilkada  Tinggi meski di Tengah Pandemi  Survei lembaga penelitian SMRC menyatakan, partisipasi masyarakat pada Pilkada  terbilang tinggi meski diselenggarakan di tengah pandemi Covid-. okowi @kemendagri  https://t.co/IliEujxAf;;
;Update Corona Sulsel Kamis  Desember Hari Ini  Pasien Baru Covid-, Klaster Pilkada?  https://t.co/qWyPoYrpVY via ribuntimur;;
;imberley Covid  hilang ketika pilkada serentak. Ada baiknya setiap hari adain pilkada serentak biar covid  hilang. Daripada beli vaksin dan masyarakat jg belum semuanya mau di vaksin. Kalo pilkada kan masyarakat seneng dapat saweran😀😀;;
;oldajateng_ @ganjarpranowo Pilkada kemarin aq juga matuhi anjuran pemerintah..di rumah saja karena masih pandemi karena sehat itu no ,nk masuk rumah sakit tkut klo kena covid;;
;evolutia pilkada yg bikin covid nambah tuh pas kampanye apa pas nyoblos om jed??;;
;"helaache Gak tau deh kak, kayanya jalur darat aja Entah kenapa kemarin² berita covid biasa aja Menjelang natal dan tahun baru pemberitaan kaya digede gedein Giliran gini warganya dibikin susah Giliran pilkada ngemis suara bilangnya ""jangan takut ke TPS"" Jengkel banget";;
;thar pendapat lu kasus k reaktif covid pilkada gimana? dari situ aja engga adil.. tolol y;byk org;
;Standart WHO % trus masih nyangkal dampak Pilkada tidak ada penambahan.covid  okowi ? Sebelum kampanye pilkada PR nasional rata  - %  saat kampanye naik - %  sesudah pencoblosan naik  -  % dan hari ini naik ke . % piye iki mas joko  https://t.co/gdvgRdbR;;
;ubirfess Iya kaya sodara gua, kena covid sepulang dri pilkada pftttt;NGUSKAN;
;aspiyuO Siapa yg bikin Indonesia babak belur seperti ini, apakah FPI?  Siapa yg pertama meremehkan covid-, mengacaukan PSBB DKI Jakarta dgn mengizinkn bus AKAP beroperasi, buru berdamai dgn covid-, buru menerapkn new normal, mengizinkan tahapan pilkada yg banyak melanggar prokes.;;
;"idwankamil Tdk serta merta salah masy yg berkerumun,  tp bgmn kebijakan pemerintah &amp; soal ketegasan. Byk kasus kerumunan sblm IBHRS plng ke Indonesia dibiarkan bahkan byk yg dilonggarkan shg terjd kerumunan, intinya pilkada. Terbukti byk kluster covid di pilkada dibanding di";;
;Pilkada  Usai,  Komisioner KPU Samarinda Positif Terinfeksi Covid- Pilkada KPU Samarinda  Selengkapnya:  https://t.co/DLOvSnUe via ouTube;SW);
;iza_ajir @fieran @VIVAcoid @VeronicaKoman @Dandhy_Laksono @KomnasHAM @amnestyindo @KontraS @YLBHI Blum lg kerumuman krn pilkada. Kan muncul di jalanan. Masa gak lihat? Polisi gak bisa lihat? Atau lg absen kerja? Ini bahkan dr satgas covid ada blg kluster baru covid krn pilkada. K;;
;"ebuttBogey @ernestprakasa Setuju banget kak, padahal covid kemaren"" sempet nambah , tapi kenapa peraturannya baru dikeluarin pas mau liburan kan aneh? Terus jugaa pilkada juga tetep dilakukan, walaupun banyak yg covid setelah atau sebelumnya. Aku semakin curiga sama pemerintah";;
;ulaionline @FruttiPlume @detikcom Nah itu kampretnya peraturan, habis pilkada kasusnya naik lagi. Sblm pilkada kasus covid njr nurunya drastis amat;;
;ss Kan judule gae pilkada covid e di parkir dulu,.begitu selesai pilkada covid di persilahkan gaspoll lagi,.;v;
;Pilkada Saat Covid-, Partisipasi Pemilih di Padang Tak Menurun via anggamid  https://t.co/TFDEYSeYW;;
;ohmahfudmd Ada lagi yang harus pak mahput pertanggung jawabkan, kata anda tidak ada klaster baru pada pilkada tapi nyatanya banyak petugas KPPS yang terkonfirmasi Covid-;;
;"hloetowntale BIN idungnya kena covid.. ama sibuk mengawal persiapan ""pilkada""";;
;ohmahfudmd @YouTube Pilkada siapa yg mengizinkan? Kabarnya selesai pilkada serentak banyak warga dan petugas pilkada positif covid.. brrti pilkada sdh melanggar prokes sehingga menimbulkan kasus baru.. lalu selanjutnya? Siapa yg bertanggung jawab?;;
;ohmahfudmd pilkada juga pengecualian padahal covid ga liat lokasi ga liat pribadi;;
;nnayaputri @HisyamMochtar @kanitanafiza Sama aj Ujung dari tamak dan sombong adalah bodoh Abu jahal dkk pasti pintar Makanya mereka kaya raya dan jadi juragan semua Seperti saat ini  Kerumunan HRS vs Pilkada vs yang laen bisa beda target covid nya Padahal itu keluar dari congor o;;
;ohmahfudmd Memang kl dikasih diskresi virusnya gak ada, pemerintah kl utk kepentingannya boleh suka, pilkada y mmembuat para petugas positif covid g masalah, kl orang lain yanv tidk disukai dicari kesalahannya. Semoga Allah memberi ganjaran buat orang dzalim;;
;ohmahfudmd Yg jadi pembeda antara hari penjenputan dengan hari berikutnya apa ya ?   Kalau yg ditakutin soal PROKES yg  berhubungan sama COVID, Emangnya si VIRUS ada jadwal LIBUR juga ?   Atau saat penjemputan atau  PILKADA virusnya lg WFH ? 😁😁;i..;
;USAI PILKADA , Virus Corona Masih Intai Kita Jangan Kendur Memakai Masker Guna Cegah Covid-  JatengLawanCorona HidupSehatAmanCovid  olresboyolali @rachmad.n.hidayat.  @ferdy_kastalani  @humas_poldajateng  https://t.co/wDXGqaaK;;
;Andalusy @Wildan @Amalric_II @Fahrihamzah Yg bikin pilkada dan itu kebukti jd cluster covid baru. Sama ini nih  https://t.co/JxjvnHUkVu;;
;eraa @kemendagri @PolhukamRI @bawaslu_RI Jelas habis pilkada melonjak drastis angka positif covid;;
;etikcom *SAYA PRESIDEN YANG MEMAKSAKAN PILKADA DALAM MASA BENCANA NASIONAL PANDEMI COVID DEMI ANAK MANTU JADI WALIKOTA! HAPUS SEGALA PELANGGARAN OLEH PESERTA PILKADA. TITIK! SOGOK MEREKA YANG MENUNTUT! HAHAHA MONYED!;;
;ohmahfudmd Oh ia pak HRS udah bayar denda  jt yah itu untuk apa pak kok masih di tahan  Dulu juga pemerintah konser pada saat covid lagi heboh heboh nya di denda gak pak Pilkada solo gimna yah   jt loh;;
;Kasus Baru Positif Covid- Meningkat Tajam Pasca Pelaksanaan Pilkada Serentak  PU_ID @bawaslu_RI @mohmahfudmd;gimana?;
;ompasTV Kata mengri klo ad pilkada bakl menrundrtis covid;;
;ealsoehandi @andikaaryadii idwankamil Noh kampanye pilkada undangan utk berkerumun. Undagan dlm kampanye dst. Wkwkwk. Dna kebukti dari pilkada kecipta cluster covid baru;;
;awilah @mohmahfudmd @YouTube Mas gak ada Pilkada juga Jakarta sudah merebak yg kena covid lebih tinggi dr yg mengadakan pilkada;;
;ollegemenfess banyaaak nder, misal: hak politik untuk dipilih scr fair game. isunya money politic di pilkada. atau hak mendapatkan informasi. isunya: transparansi data covid- yang berubah. atau bisakah hak berkumpul direduksi karena alasan covid-? kenapa bisa?;;
;ompasTV Ini bapak asal bicara saja... Coba masuk ke RS seluruh indonesia khususnya  ruang infeksi full pasien covid pak pasca pilkada...Bapak mesti tanggung jawab dunia dan akhirat.;da.;
;reddy_Skumbang @Ahmadfuadie @mohmahfudmd Jawaban simplenya gini aja bg, bilang aja si COVID milih kerumunan, klo kerumunan pilkada Covidnya gk demen.... gitu aja jawabnya biar BEGO loe makin nampak.;;
;reddy_Skumbang @mohmahfudmd Oia bung,kabar terbaru yg beredar bahwasanya ada banyak petugas kpps yg reaktif covid-,pertanyaannya sekarang adalah apakah benar protokol kesehatan yg anda sebutkan tadi benar di terpakn selama pilkada berlangsung???;;
;hmadfuadie @mohmahfudmd Virus covid  di Indonesia, tahu mana kerumunan mana Pilkada yg diatur Undang undang 🤣🤣;;
;idwankamil Demi covid, sekolah n kuliah dr rumah, tp.pilkada tetep jalan..;;
;ohmahfudmd Asal tertib dan tdk melanggar prokes.. tujuan prokes agar tdk terjadi penyebaran covid.. pertanyaannya brp bnyk kah akibat kerumunan HRS covid bertambah.. setahu saya HRS dan  tersangka lainnya tdk terjangkit covid. Bgmn dgn kebijakan libur panjang dan Pilkada???;;
;aya @Manusia @BerikWicaksono @ChahrulIrawan @mohmahfudmd psbb , bukan pspb . trus klo gk psbb boleh gitu ya ? lihat sekarang jateng rekor covid , di banten juga ada kerumunan , pilkada juga membuat kerumunan , harusnya bersikap adil;atau kerumunan lainnya.;
;"nbcindonesia Hahahahahaha Sudah prof katakan bhw kerumunan PILKADA justru membuat Covid kejang kejang, ditambah kerumunan Solo dan Medan maka bisa dipastikan semua virus covid sdh take off ke negara asalnya ""China"" 🤣🤣🤣🤣🤣🤣";;
;idikAkuFurni @Shadow @mohmahfudmd Lu tau gak kalo di bandara itu jauh lebih banyak dari pada di pernikahan? Kalo ngomong tertib dan Prokes di pernikahan juga semua ikutin Prokes (cuci tangan dan pake masker) pilkada juga udah berapa KPPS reaktif covid?? Apa bedanya kerumunan Pilk;;
;ohmahfudmd Pertanyaan yg masih menggelitik di hati sya adalah,apa bedanya kerumunan di bandara,di petamburan,di megamendung,krumunan saat kampanye pilkada,kerumunan saat pilkada dan krumunan yang lain,apa mungkin klau krumunan yg di hadiri hrs berpotensi kna covid- krumunan yg la;dah;
;Rata calon dan tim yg di pilkada banyak yang covid... Di Makassar sudah ada cc said_didu;;
;rbayuu lifiadjazmi Kmrin di Pandeglang jg pilkada. Tp jelas, cluster covid nya ga disebar 🙄 kan ada dinasti pfttt;;
;ohmahfudmd Klo sudah clear ya sudah BebaskanIBHRS ngapain jg ditahan bikin suasana tambah panas, gak ada beritanya setelah HRS pulang trs dijemput rame  Covid- jd meningkat. Yang ada setelah pilkada Covid- jauh meningkat dan meninggal. Gak usah dicari Kesalahannya semuanya ada ku;;
;koFirman Pilkada bagaimana pilkada ??? Beliau sudah di hukum sudah bayar denda kok masih kurang puas . Pelanggaran kerumunan pilkada tuh dan sudah jelas angka yang keluar terkait covid , itu yang harus  diselesaikan agar tercipta rasa keadilan.  fokus kok sama  orang . Rakyat kit;;
;andaFaturrahm @mohmahfudmd Boakaka... cebong klo ga fitnah ga makan ya🤣🤣🤣 Mana buktinya petamburan jd cluster covid? Yg ada mlh krn pilkada bong... baca berita ya. Doyan amat ama fitnah🤣🤣;;
;Digelar Saat Pandemi Covid-, Partisipasi Pemilih Pilkada Tangsel Justru Melonjak    https://t.co/ipXOPIA lewat ribunnews;;
;emeComicIndo Tetap Pilkada walau covid membantai demi anak mantu  ✊;;
;Fahmii Pemerintah sukses menyelenggarakan Pilkada Serentak ditengah pandemi Covid-.;;
;ekek_ @kopi_pait @_vivin @hilwa_ajaa @_ngel @Ulul_fan @Aluh_kciput Apresiasi tinggi untuk pemerintah yang sukses melaksanakan Pilkada Serentak di Tengah Pandemi Covid-.;;
;mat_ramlah @UmarChelsea__ covid naik tinggi krn pilkada nih. hahaha;dan sholat ied,tp bhs mayor-minor.;
;Komnas HAM soroti adanya petugas Pilkada Positif Covid- NewsRCTIPlus CTIPlus  https://t.co/jODtfiav;;
;anca @ridwankamil Faktanya setelah pilkada serentak...yang kena covid  banyak.Terutama anggota kpps;dan pemerintah daerah kalau mau protes ye;
;ompascom Mantap, pilkada telah membantu penanganan covid, hingga covid jinak KARENA SUDAH DILINDUNGI UU.;;
;aspiyuO @mohmahfudmd Emang dikerumunan massa HRS ada yang kena covid yak?  Setau gue yang jelas mengakibatkan penyebaran covid pas pilkada dah,,  Siapa tuh yang tanggung jawab atas pilkada;;
;ohmahfudmd Definis pengacau menurut bapa itu apa?  Orang yang mengizinkan pilkada di tngh pandemi itu yang kacau  Orang yang bilang obat covid nasi kucing itu yang otak nya kacau  Jangan definis pengacau menurut bapa adalah mereka yang berbeda pendapat;;
;ompascom Mudah mengatasinya. Cukup dilindungi UU maka covid akan jinak tidak akan menular lagi. Terbukti pilkada. Buktinya tidak ada cluster. Tidak ada penularan.;;
;ahaDw @katzenjammer Allah bayar kontan mereka menuduh Habib rizieq justru pilkada klaster baru covid;;
;atzenjammer Si opung mungkin tak tau, bhwa cluster pilkada lah yg paling brekele. Bayangkan ribu sekian reaktiv dn positif covid;;
;idasSatyo Yg blg pilkasa bebas klaster covid dan sekarang klaster pilkada merebak dia yg bayar pengobatan plus nanganin sana. Kalo gini juga mingkem doang pasti;;
;empodotco *BERIKUT PRESIDEN YANG TELAH BERBUAT SECARA SENGAJA DENGAN MENG INSTRUKSIKAN PILKADA HARUS TETAP BERLANGSUNG WALAUPUN DI MASA BENCANA NASIONAL! SEHINGGA . PANITIA TERPAPAR COVID! TAPI PRESIDEN TAK PERNAH MINTA MAAF! O MINTA DITEMBAK SILENCE? HAHAHA  https://t.co/lRDDfho;;
;rsyad_habe @mohmahfudmd Klo mau penjarakan habib riziq, ya penjarakan saja. Tak perlu pake dalih krn mengundang kerumunan yg berpotensi penyebaran corona. Sebab bila pemerintah serius soal covid ini, maka hal pertama yg diperhatikan adl tdk melaksanakan pilkada se Indonesia. Jang;;
;IVAcoid Dugaanku org disana golput krn takut covid-. Drpd tertular lbh baik cari aman.  Pilkada kmrin klo tps ga di dpn rmhku mgkin aku jg golput;;
;hiaLebaou @RachlanNashidik Walah walah.... Suriah. Segitu Nakut nakutinnya,,  Lupa lg ngadepin,,, korupsi dana covid, money politik pilkada, ekonomi njeplak, phk dimana², bumn bangkrut;;
;NNIndonesia Masih byk petugas serta masyarakat yg terpapar covid pasca pilkada ini @mohmahfudmd tolong anda klarifikasi berita CNN ini. Serta telusuri berita terkait lainnya di berbagai daerah.;;
;irta_hudhi ini dah peraturan yg terlalu mendadak. saya selaku pariwisata bali sangat kecewa, seblum pikada covid katanya menurun. setalah pilkada wow peraturan baru..;eri  https://t.co/LMUpRFLdY;
;ohmahfudmd anda ngomong pilkada tidak ada dampak signifikan pada penambahan kasus positive covid  , sebaikya Profesor baca data yang baik , sebelum kampanye pilkada PR covid %  kemudian naik ke .% selama kampanye pilkada (  bulan ) hari ini setelah pilkada .%  https://t.co/EcCmtr;ilkada itu batal ato tdk;
;komaung @mohmahfudmd Memahami pejabat yg bilang pilkada tidak akan menimbulkan klaster Covid padahal ga ada kompetensi sama sekali buat ngomong dan memang terbukti salah juga sulit Prof.;;
;NCkoranSINDO Tunggu  minggu lagi dr pilkada, baru kelihatan dampaknya. Berbulan pandemik memahami grafik positive rate saja msh bingung 😑  Itu kenapa perubahan kebijakan penanganan Covid dimanapun di dunia hampir selalu diumumkan per  minggu;;
;ik_arif @MurBaudperin Pemerintah naif dengan fakta tingginya kenaikan covid pasca pilkada, mereka sama sekali tak menganggap penting nyawa rakyatnya, justru proyek oligarkinyalah yg mereka pentingkan, dukungan sponsornyalah yg mereka utamakan. Negara ini kebanyakan pengkhianat!;;
;onavioleta @DivHumas_Polri @jokowi @kemendagri Pemerintah harus ditangkap gitu?krn pilkada covid naik lagi,petugas pilkada banyak kena covid;;
;ohmahfudmd Yg jelas  org meninggal apa artinya prof...HRS ditahan atas kerumunan... Pilkada gimana prof setelah pilkada covid nambah ...artinya apa itu  ...kita catat saja setelah menjelang mati  para pejabat yang nggak jujur pasti ada balasannya ....;;
;oeyoto Bukan hanya kata @mohmahfudmd tapi semua Pejabat Istana Mengatakan Pilkada bukan Cluster Covid. Cluster Covid hanya pengajian IBHRS dan pesta pernikahan putri nya.   rasanyaa...  AANJIIIIING bgt Pejabat pemerintah Pukimak itu.;;
;kata pak ohmahfudmd tidak ada claster baru covid_ pada pilkada serentak.. kok ini ada? lapor menhan pak mahfud sudah kena pasal  @DivHumas_Polri;jg setingan coronanya;
;NNIndonesia Bukannya kmarin Pa @mohmahfudmd bilang ngk ad kluster Pilkada? Mn yg bener nih? Td d info jd kalo dr  orang yg positif covid  orang? Bener ngk ini yah? Duh tolonglah Pa, yg transparan dn akuntablelah datanya. Mkin ngeri aj nih euy 😭;;
;nggalPMT @DonAdam @mohmahfudmd Informasi Bpk @mohmahfudmd banyak tdk akurat al: awal covid dulu, tentang hrs, sekarang cluster pilkada.;;
;abarNdasmu Berangus covid ? Ngaca dulu ! Berapa banyak korban covid karena pilkada? mengapa anda diam tak menyinggung nya! Jangan tunjuk satu jari mu kepada orang lain tapi lupa  jari mu mengarah pada mu.  TetapDukungFPI  BangsatTidakButuhFPI;;
;onAdam @msaid_didu Sing penting pilkada aman, anak mantu si plongo sukses, mayan bisa ngegarong negara th kedepan. Masalah ada kecurangan, nyaris takda yg  peduli krn pengalihan isu. Puluhan ribu petugas kpps reaktif dan terpapar covid tak masalah, menghemat penggunaan racun sepe;;
;Lucu nya negeri ini, PILKADA selesai, mau libur NATARU aja pada ribut ngatur perjalanan. Yang di atur itu cara pemerintah menangani covid, RAKYAT JENGAH DWNGAN ATURAN NGGAK JELAS !!! KALO MAU DI BATASIN YA DARI AWAL, mikir yang bener bisa nghak sih. SORRY. emenhub @jokowi;;
;yokTweet @mohmahfudmd COVID- Melonjak Usai Pilkada, Makassar Terancam Zona Merah Lagi  https://t.co/ABNpdzNlrD;pilih kan bang.;
;dy_Asmara Harap maklum, PILKADA sudah selesai dgn kenyataan wabah covid tak terkendali bisa jadi opsi darurat sipil menjadi pilihan.;;
;IVAcoid @PutraWadapi Covid Radikal nih.. Masa sih covid ga ngerti klo pilkada itu di lindungi undang...;;
