username;tweet;value;remove_user
iyannn128965;@SiKebongce @mohmahfudmd @karniilyas @KomnasHAM @Yusrilihza_Mhd @prabowo @amnesty @aliansibem_si Kembali topik yg dipertanyakan berkerumun disaat pandemibukan hukum demo pilkadanikahanserta acara2 lainnya knapa tdk ditindak  bisaItukn masing2 cara perjuan;negatif; @mohmahfudmd @karniilyas @KomnasHAM @Yusrilihza_Mhd @prabowo @amnesty @aliansibem_si Kembali topik yg dipertanyakan berkerumun disaat pandemi,bukan hukum demo ,pilkada,nikahan,serta acara2 lainnya knapa tdk ditindak  bisa,Itukn masing2 cara perjuangan. misalnya pendemo bertanya Udah tau covid tinggi knapa pemerintah menggelar pilkada,memang tdk bisa ditunda?
rinidyah6;@geloraco Pilkada turun ke jalan kenapa tdk diingatkan pandemi...???🤔;negatif; Pilkada turun ke jalan kenapa tdk diingatkan pandemi...???🤔
wikawitana;@RahmaNurlela @dr_koko28 Ya betul cuma Rezim Penguasanya yg nolak dialog diskriminasi UU Pilkada dlsb Rezim yg hrsnya punya otoritas Dewa mau dialog slma Pandemi fokus ke Covid ini mlh pidana sana sini gaduh sana sini akibat haus kekuasaan..ya sdh si covi;negatif; @dr_koko28 Ya betul, cuma Rezim Penguasanya yg nolak dialog, diskriminasi UU Pilkada dlsb, Rezim yg hrsnya punya otoritas Dewa, mau dialog slma Pandemi, fokus ke Covid, ini mlh pidana sana sini, gaduh sana sini akibat haus kekuasaan..ya sdh si covid psti mengganas..bla miskin tobat
iyannn128965;@SiKebongce @mohmahfudmd @karniilyas @KomnasHAM @Yusrilihza_Mhd @prabowo @amnesty @aliansibem_si Klo demo ya memang ada payung hukumnyanikahansyukuran tdk dilarang gini sob yg di permasalahin disini kan Memicu org untuk berkumpul saat Pandemimaksudnya apa;negatif; @mohmahfudmd @karniilyas @KomnasHAM @Yusrilihza_Mhd @prabowo @amnesty @aliansibem_si Klo demo ya memang ada payung hukumnya,nikahan,syukuran tdk dilarang, gini sob yg di permasalahin disini kan Memicu org untuk berkumpul saat Pandemi,maksudnya apa bedanya saat perhelatan PILKADA ada berkumpul,demo berkumpul,petamburan berkumpul,apakah virus bisa membedakan
andre_andhikas;@mohmahfudmd Buntutnya juga ada narasi preman yg melanggar hukum di tangkap... Sementara pilkada yg membuat banyak korban pandemi di biarkan.. tebang pilih itu namanya boss..;negatif; Buntutnya juga ada narasi preman yg melanggar hukum di tangkap... Sementara pilkada yg membuat banyak korban pandemi di biarkan.. tebang pilih itu namanya boss..
pamongjagad;Pak @mohmahfudmd Sy suka bpak berceramah seperti ini tapi sesuaikan dan laksanakan dg realita. Kerumunan bukan hnya di lingkup FPI. Tp pesta pilkada kampanye haul n maulid nabi slma pandemi bnyk dilksanakan. Apa krn gengsi dan salah prediksi?   https://t.co/6KJU8YzquP;negatif;Pak  Sy suka bpak berceramah seperti ini, tapi sesuaikan dan laksanakan dg realita. Kerumunan bukan hnya di lingkup FPI. Tp pesta pilkada, kampanye, haul n maulid nabi slma pandemi bnyk dilksanakan. Apa krn gengsi dan salah prediksi?   https://t.co/6KJU8YzquP
pakdhegondrong;@mohmahfudmd Betul pak. Kerumunan saat pandemi itu dilarang. Kecuali dilakukan orang dekat istana dan yg bertujuan untuk memfasilitasi anak menantu memperoleh jabatan sesegera mungkin. Sampai kabar seseorang positif covid sj ditunda agar pilkada tetap ber;negatif; Betul pak. Kerumunan saat pandemi itu dilarang. Kecuali dilakukan orang dekat istana dan yg bertujuan untuk memfasilitasi anak menantu memperoleh jabatan sesegera mungkin. Sampai kabar seseorang positif covid sj ditunda agar pilkada tetap berjalan.  Hina betul kalian.
nasutionsyarief;@jokowi Apakah setelah melibatkan lembaga indepen seperti Komnas HAM dapat mengembalikan nyawa org yg sdh melayang pak??? sebelum trjadi hrsnya semua pihak tdk semena2 klu ada aturan tdk boleh brkerumun pd ms Pandemi hrsnya semua org yg brkerumun pd saat ;negatif; Apakah setelah melibatkan lembaga indepen seperti Komnas HAM dapat mengembalikan nyawa org yg sdh melayang pak??? sebelum trjadi hrsnya semua pihak tdk semena2, klu ada aturan tdk boleh brkerumun pd ms Pandemi hrsnya semua org yg brkerumun pd saat PILKADA,HAUL,PESTA ditangkap jg.
dedimiz57883033;@jokowi Kok selama proses pilkada tidk ada pandemi sih? Giliran nikah anaknya HRS negara sibuk mengejar dan mencari pelanggaran HRS?;negatif; Kok selama proses pilkada tidk ada pandemi sih? Giliran nikah anaknya HRS negara sibuk mengejar dan mencari pelanggaran HRS?
hayyaalalfalah9;@republikaonline Memaksakan pilkada ditengah lonjakan pandemi covid19 juga membahayakan kesehatan warga negara pak.;negatif; Memaksakan pilkada ditengah lonjakan pandemi covid19 juga membahayakan kesehatan warga negara pak.
sudastika;"49) ""Ini penting krn msh pandemi COVID-19. Kita menginginkan pelaksanaan Pilkada dgn protokol kesehatan bisa direplikasi dlm pelaksanaan Pilkades"" ujar Akmal.  https://t.co/dLaNpDHslZ #MenangKalahPilkadaSehat @WawaSiti @HyugaTotoro @Nithasoya";positif;"49) ""Ini penting, krn msh pandemi COVID-19. Kita menginginkan pelaksanaan Pilkada dgn protokol kesehatan bisa direplikasi dlm pelaksanaan Pilkades,"" ujar Akmal.  https://t.co/dLaNpDHslZ #MenangKalahPilkadaSehat  @HyugaTotoro @Nithasoya"
hisyam62425385;@DevitaM28808320 @07_abank Mereka tidak bodoh mereka memilih untuk membela keturunan Rasulullah. Jika memang kesalahannya ada membuat kerumunan di situasi pandemi. Lantas mengapa saat Pilkada mengadakan konser malah bebas. Renungkanlah itu apakah itu adil;negatif; @07_abank Mereka tidak bodoh, mereka memilih untuk membela keturunan Rasulullah. Jika memang kesalahannya ada membuat kerumunan di situasi pandemi. Lantas mengapa saat Pilkada mengadakan konser malah bebas. Renungkanlah itu apakah itu adil?
izma_yanti09;@abu_waras Ayoo Jokowi hrs tanggung jwb Krn lg pandemi menyelenggarakan pilkada;negatif; Ayoo Jokowi hrs tanggung jwb Krn lg pandemi menyelenggarakan pilkada
rendy_azam;@Liliana_lestari @yssctmra @AREAJULID Pilkada itu udh di atur undang2. Dan klo di skip atau di tunda akan lebih banyak ruginya dr pada untungnya. Dan lu samain sama keramaian krn dia bikin acara kawinan di petamburan? Bego apa tolol mba? Org banyak kehila;positif; @yssctmra @AREAJULID Pilkada itu udh di atur undang2. Dan klo di skip atau di tunda akan lebih banyak ruginya dr pada untungnya. Dan lu samain sama keramaian krn dia bikin acara kawinan di petamburan? Bego apa tolol mba? Org banyak kehilangan pekerjaan krn pandemi dan lu justifikasi gtu aja? Mikir!
akuorangkaya1;@cunyukman @hmmaja12 @Harlendfebrian @daniadler33 @DesaKita2 Emg otak lu dipake? Wkwkwk gk usah ngomongin rakyat lah di masa pandemi lebih mentingin ngadain pilkada serah lu dah otak dibawah standart mau kaya apapun susah dikasih tau selalu mewajarkan hal;negatif; @hmmaja12 @Harlendfebrian @daniadler33 @DesaKita2 Emg otak lu dipake? Wkwkwk gk usah ngomongin rakyat lah di masa pandemi lebih mentingin ngadain pilkada, serah lu dah otak dibawah standart mau kaya apapun susah dikasih tau selalu mewajarkan hal yg gak wajar dijadikan wajar. Jadi skip ya!
janakalinglung;24.Pemungutan suara Pilkada 2020 di tengah pandemi Covid-19 menuntut upaya terbaik dari semua pihak. Satu tahapan telah berhasil dengan sukses kita laksanakan. #MenangKalahPilkadaSehat @jokowi;positif;24.Pemungutan suara Pilkada 2020 di tengah pandemi Covid-19 menuntut upaya terbaik dari semua pihak. Satu tahapan telah berhasil dengan sukses kita laksanakan. #MenangKalahPilkadaSehat 
janakalinglung;1.Pilkada ditengah pandemi telah sukses dilaksanakan. Pilkada yang memakan anggaran 2046 triliun tersebut membengkak akibat kebutuhan protokol kesehatan. #MenangKalahPilkadaSehat @jokowi;positif;1.Pilkada ditengah pandemi telah sukses dilaksanakan. Pilkada yang memakan anggaran 20,46 triliun tersebut membengkak akibat kebutuhan protokol kesehatan. #MenangKalahPilkadaSehat 
mhendratmoko;@DivHumas_Polri Masy patut bersyukur. Ditengah pandemi dan gaduhnya jagad politik agenda Pilkada berjalan aman lancar. Kurang ini itu bisa dimaklumi. Pemenang Pilkada akan menjadi pejabat publik yg baik jujur dan mampu sejaht rkyt majukan masy dan daerah.;positif; Masy patut bersyukur. Ditengah pandemi dan gaduhnya jagad politik, agenda Pilkada berjalan aman, lancar. Kurang ini itu bisa dimaklumi. Pemenang Pilkada akan menjadi pejabat publik yg baik, jujur dan mampu sejaht rkyt, majukan masy dan daerah. Jgn korupsi. Rkyt lelah dan malu.
jamil_riyon;@geloraco Yang bikin pilkada di saat pandemi harus di tangkap...menyebabkan orang banyka fositif coronadan kehilangan nyawa;negatif; Yang bikin pilkada di saat pandemi harus di tangkap...menyebabkan orang banyka fositif corona,dan kehilangan nyawa
maymarmas;"@republikaonline ""Tersangka kerumunan"". Ungkapan hukum yg aneh lagi asing.  Kerumunan saat pandemi terjadi di seantero negeri. Dilakukan banyak pihak di banyak peristiwa. Paling merata kerumunan pilkada.  Lalu ada yg ingin dipidana jadi tersangka.   Ngga ";negatif;" ""Tersangka kerumunan"". Ungkapan hukum yg aneh lagi asing.  Kerumunan saat pandemi terjadi di seantero negeri. Dilakukan banyak pihak di banyak peristiwa. Paling merata kerumunan pilkada.  Lalu ada yg ingin dipidana, jadi tersangka.   Ngga, gue ga nanya lagi, "" Dimana keadilan?"""
akuorangkaya1;@cunyukman @Mr_Herdiansyah @Harlendfebrian @daniadler33 @DesaKita2 Dihh? Mending golput jg saya wkwkwk lg pandemi disuruh pilkada giliran bikin hajatan di tangkepin eh wkwk;negatif; @Mr_Herdiansyah @Harlendfebrian @daniadler33 @DesaKita2 Dihh? Mending golput jg saya wkwkwk lg pandemi disuruh pilkada giliran bikin hajatan di tangkepin eh wkwk
dani_omenk;@jokowi Suasana masih pandemitapi Pilkada tetap harus berjalan.Ada yg di Solo adapula di Medan;negatif; Suasana masih pandemi,tapi Pilkada tetap harus berjalan.Ada yg di Solo adapula di Medan
lucukami;@DivHumas_Polri Apresiasi yg setinggi tingginya atas kerja pengorganisasian yg baik terutama Jajaran Polri yg telah mensukseskan jalanya Pilkada 2020 ditengah Pandemi dan kegaduhan akibat ulah oknum pemecah belah bangsa.;positif; Apresiasi yg setinggi tingginya atas kerja pengorganisasian yg baik, terutama Jajaran Polri yg telah mensukseskan jalanya Pilkada 2020 ditengah Pandemi dan kegaduhan akibat ulah oknum pemecah belah bangsa.
sphiraniuna;@ente_ajh @Fery_setu @suswoyoahmad @ustadtengkuzul Begitu ya? Ywdh kl gitu gw juga setuju usut tuntas itu semua kasus kerumunanmo lu anak presiden kekcucu rosul kekorang gila kekttp kudu di proses.pilkada aja aslinya gw gk setuju kok dilanjut kala pandemi;negatif; @Fery_setu @suswoyoahmad @ustadtengkuzul Begitu ya? Ywdh kl gitu gw juga setuju usut tuntas itu semua kasus kerumunan,mo lu anak presiden kek,cucu rosul kek,orang gila kek,ttp kudu di proses.pilkada aja aslinya gw gk setuju kok dilanjut kala pandemi.tapi inget...kl kgk terbukti jgn bilang hukum tidak adil/kriminalisasi
niewiw_wiyono;@Deancol2 @DhoniSyb @panca66 bisa ga loe omong gini ke yg ngadain PILKADA? urgensi PILKADA dimasa PANDEMI tuh apa sih? terus yg ngadain pengajian dg rutin itu juga KERUMUNAN lho.... mikir dong;negatif; @DhoniSyb @panca66 bisa ga loe omong gini ke yg ngadain PILKADA? urgensi PILKADA dimasa PANDEMI tuh apa sih? terus yg ngadain pengajian dg rutin itu juga KERUMUNAN lho.... mikir dong
nokbhen76;@jawapos kekurangan cuma satu menyelenggarakan pilkada di tengah pandemi hehe;negatif; kekurangan cuma satu, menyelenggarakan pilkada di tengah pandemi, hehe
haidorikun;@Budixusilo @AndiePeci Justru sy gak milih karena protes pandemi kayak gini nekat ngadain pilkada;negatif; @AndiePeci Justru sy gak milih karena protes pandemi kayak gini nekat ngadain pilkada
maulana_andri;Proyek proyek proyek... yang mati gegara pilkada pas pandemi dianggap angin lalu aja ya ga boy? @kaesangp;negatif;Proyek proyek proyek... yang mati gegara pilkada pas pandemi dianggap angin lalu aja, ya ga boy? 
whatacrazyworl4;@jokowi 9 bulan ngapain aja sih Pak? Narasinya masih sama aja. Kapan sadar sih Pak kalau Bapak gagal? Kapan sadar sih Pak ini perlu libatkan ahli pandemi? Ah sudahlah yg penting pilkada jalan anak menang.;negatif; 9 bulan ngapain aja sih Pak? Narasinya masih sama aja. Kapan sadar sih Pak kalau Bapak gagal? Kapan sadar sih Pak ini perlu libatkan ahli pandemi? Ah sudahlah yg penting pilkada jalan, anak menang.
dina45893276;@2TitikHitam @BBaksoceria @HayPiyo @NKRIHAR69617402 @Titok96024395 @MRiject @ustadtengkuzul Kalau Habib Rijiek Shihab di berikan sanki pidana di proses atas protokol kesehatanitu kaesang anak jaenudin proses donghukum jangan tebang pilihkarena dia juga su;negatif; @BBaksoceria @HayPiyo @NKRIHAR69617402 @Titok96024395 @MRiject @ustadtengkuzul Kalau Habib Rijiek Shihab di berikan sanki pidana di proses atas protokol kesehatan,itu kaesang anak jaenudin proses dong,hukum jangan tebang pilih,karena dia juga sudah melanggar protokol kesehatan,melakukan pilkada tangah pandemi dan mengumpulkan masa!!!
fakthurxx;@AchmadRyan9 @shitlicious Tim menolak pilkada dikala pandemi tapi tetap menerima serangan fajar demgam riang gembira;negatif; @shitlicious Tim menolak pilkada dikala pandemi tapi tetap menerima serangan fajar demgam riang gembira
pennyhepiyani;@Mun4fikunn Pemernth trllu memaksakan pilkada diadkan dimasa pandemi bromungkn krn salhsatu calon kepla daerhnya ada anggota keluarganya;negatif; Pemernth trllu memaksakan pilkada diadkan dimasa pandemi bro,mungkn krn salhsatu calon kepla daerhnya ada anggota keluarganya
tribrata_rl;Pilkada menuju tahap akhir. Ditengah Pandemi inidiharapkan para paslon tidak mengerahkan massa agar tidak menimbulkan klaster baru. #PilkadaAmanPatuhiProkes @divisihumaspolri @polda_bengkulu @gmargopo  https://t.co/n8c7K9NTmY;positif;Pilkada menuju tahap akhir. Ditengah Pandemi ini,diharapkan para paslon tidak mengerahkan massa agar tidak menimbulkan klaster baru. #PilkadaAmanPatuhiProkes  @polda_bengkulu @gmargopo  https://t.co/n8c7K9NTmY
totok_hand;@DivHumas_Polri Aman.? Rakyat ini prihatin dg berbagai statemen. Pandemi covid tidak kelihatan klo ada penyebaran juga ngga kelihatan kan? Dari awal para petinggi anggap remeh tapi kini rakyat yg kena akibatnya. Belum lgi tebang pilih yg kumpul2 pilkada a;negatif; Aman.? Rakyat ini prihatin dg berbagai statemen. Pandemi covid tidak kelihatan, klo ada penyebaran juga ngga kelihatan kan? Dari awal para petinggi anggap remeh, tapi kini rakyat yg kena akibatnya. Belum lgi tebang pilih yg kumpul2 pilkada aman tak apa2 dan yg kerumunan di uber2
rustamajicare;@tvOneNews siapa yang paling beranggung jawab atas penyelenggaraan pilkada? semoga tenang dan di ampuni dosa2 yang meninggal... tak ada pandemi saja ratusan yang bekerja di KPU saja banyak yg mati pi adem ayem aje...;negatif; siapa yang paling beranggung jawab atas penyelenggaraan pilkada? semoga tenang dan di ampuni dosa2 yang meninggal..., tak ada pandemi saja ratusan yang bekerja di KPU saja banyak yg mati, pi adem ayem aje...
is_syarif85;@OposisiCerdas Awal2 karena pandemi banyak napi yg dilepasterus pengurus KAMI ditangkap eh tau2 nya ditahanan polisi kena COVID19ad kerumunan di Petamburan luar biasa respeknya buat diusutpadahal pilkada lebih parah lagi.. hukum subjektifsuka2 kalian. Tap;negatif; Awal2 karena pandemi banyak napi yg dilepas,terus pengurus KAMI ditangkap eh tau2 nya ditahanan polisi kena COVID19,ad kerumunan di Petamburan luar biasa respeknya buat diusut,padahal pilkada lebih parah lagi.. hukum subjektif,suka2 kalian. Tapi ingat azab Allah akan datang
nurfari47090997;@tvOneNews Ayo  salah siapa? Siapa yg memberi izin  pilkada di tengah pandemi ini ini harus d usut ky habib d petamburan sampai jd tersangka kalo pemerintah masih mau d percaya sama rakyat ayo berbuat adil jangan tebang pilih;negatif; Ayo  salah siapa? Siapa yg memberi izin  pilkada di tengah pandemi ini,, ini harus d usut ky habib d petamburan sampai jd tersangka,, kalo pemerintah masih mau d percaya sama rakyat,, ayo berbuat adil jangan tebang pilih
ndprtma;@Dimdim22965876 @Marenkrd @ZanZa_237 @padantyaabiyyu @ichsanovsky @kaitokid01 @txtdaritng saya mengapresiasi pencapaian terbesar beliau dalam hidup yaitu sukses melaksanakan pilkada serentak dikala pandemi.;positif; @Marenkrd @ZanZa_237 @padantyaabiyyu @ichsanovsky @kaitokid01 @txtdaritng saya mengapresiasi pencapaian terbesar beliau dalam hidup, yaitu sukses melaksanakan pilkada serentak dikala pandemi.
adnanarrazi;@merakgalak @raja_bukan @AhokJamban @CNNIndonesia @jokowi 🤣🤣🤣🤣... Si anak kodok pawai konvoi berkerumun karena menang pilkada gak apa2 ya Otak Babi????  Ohhhh.. pandemi ni liat2 orang. Klu pilkada gak apa klu maulidan ya masalah..  Makan babi ;negatif; @raja_bukan @AhokJamban @CNNIndonesia @jokowi 🤣🤣🤣🤣... Si anak kodok pawai konvoi berkerumun karena menang pilkada gak apa2 ya Otak Babi????  Ohhhh.. pandemi ni liat2 orang. Klu pilkada gak apa, klu maulidan ya masalah..  Makan babi, Otak Babi🤣🤣🤣
karhynd1;@irwan_dwi_a Pada pilkada di masa pandemi seperti ini banyak orang yang takut untuk keluar rumah dan memilih dirumah aja tanpa ikut partisipasi dalam pilkada. Namun hal tsb tdk bisa harus dijadikan alasan untuk golput.  #milenialmemilih #PartisipasiPoliti;positif; Pada pilkada di masa pandemi seperti ini banyak orang yang takut untuk keluar rumah dan memilih dirumah aja tanpa ikut partisipasi dalam pilkada. Namun hal tsb tdk bisa harus dijadikan alasan untuk golput.  #milenialmemilih #PartisipasiPolitik #GenerasiMilenial #Pilkada
rosihan_anwar18;@andkaadi Tujuan pilkada di tengah pandemi emang kyk gitu. Untuk menambah beban masyarakat bukan malah meringankan.;negatif; Tujuan pilkada di tengah pandemi emang kyk gitu. Untuk menambah beban masyarakat, bukan malah meringankan.
sudastika;"33) ""Mereka bekerja keras belakangan ini untuk mendesain Pilkada sehat yang beradaptasi dengan kebiasaan baru di tengah Pandemi Covid-19"" imbuhnya.  https://t.co/TA55vYNlOq #PilkadaSuksesSemuaSehat @hans_tbn @RafikaBayu @garengpung25";positif;"33) ""Mereka bekerja keras belakangan ini untuk mendesain Pilkada sehat yang beradaptasi dengan kebiasaan baru di tengah Pandemi Covid-19,"" imbuhnya.  https://t.co/TA55vYNlOq #PilkadaSuksesSemuaSehat  @RafikaBayu @garengpung25"
sudastika;"18) ""Pilkada kali ini berbeda krn ada ditengah pandemi. Kerjaan KPU bertambah krn hrs pastikan prokes berjalan. KPU sy nilai sukses. Sy pribadi ucapkan selamat"" ucap senator asal Jatim itu.  https://t.co/GSRuiGVuVd #PilkadaSuksesSemuaSehat @albertocung @SoniaNurita @sangpenyuluh";positif;"18) ""Pilkada kali ini berbeda krn ada ditengah pandemi. Kerjaan KPU bertambah krn hrs pastikan prokes berjalan. KPU sy nilai sukses. Sy pribadi ucapkan selamat,"" ucap senator asal Jatim itu.  https://t.co/GSRuiGVuVd #PilkadaSuksesSemuaSehat  @SoniaNurita @sangpenyuluh"
dina45893276;@tvOneNews Gimana sama kaesang anak Jokowi Dia juga menciptakan kerumunanmengumpulkan orang dan gelar pilkada saat pandemi kenapa tidak di periksa secara hukumjangan tebang pilih Terlihat sekali rezim ini benci Habib Rijiek Shihab benci dengan ulama yang ;negatif; Gimana sama kaesang anak Jokowi Dia juga menciptakan kerumunan,mengumpulkan orang dan gelar pilkada saat pandemi kenapa tidak di periksa secara hukum,jangan tebang pilih Terlihat sekali rezim ini benci Habib Rijiek Shihab benci dengan ulama yang lurus yang tidak bisa di sogok
arfiecandra;@znvoy Iye tau alesan KPU nya itu yg tai artinyakan mrk tau klo pilkada di masa pandemi ya resikonya begitu 😂;negatif; Iye tau, alesan KPU nya itu yg tai, artinyakan mrk tau klo pilkada di masa pandemi ya resikonya begitu 😂
lindapsprn;@jokowi Yang gapake masker namanya lalai Yang memaksa untuk beraktifitas di luar ketika pandemi namanya pilkada;negatif; Yang gapake masker namanya lalai Yang memaksa untuk beraktifitas di luar ketika pandemi namanya pilkada
afannni;@NephiLaxmus nah gitu dong berkoalisi mengajukan  calon dan bisa menangkan... jangan kayak di se marang dan so lo yg bisa mengajukan calon malah gak mengajukan.   btw kayaknya mesti berterimakasih kpd penguasa yg bertekad bulat tetap menyelenggarakan pilk;positif; nah gitu dong berkoalisi mengajukan  calon dan bisa menangkan... jangan kayak di se marang dan so lo, yg bisa mengajukan calon malah gak mengajukan.   btw, kayaknya mesti berterimakasih kpd penguasa yg bertekad bulat tetap menyelenggarakan pilkada serentak meski di masa pandemi
dessysyahdani;@ezash Udah pilkada tetep dilaksanakan saat pandemi byk petugas yg positif bahkan meninggal tp kyknya malah lg sibuk buat persiapan 12.12 😅;negatif; Udah pilkada tetep dilaksanakan saat pandemi, byk petugas yg positif bahkan meninggal, tp kyknya malah lg sibuk buat persiapan 12.12 😅
totok_hand;@jokowi Prihatin dg kondisi negri ini di mana Pemimpinnya yg banyak masalah mulai dari anggap remeh covid lanjut kelabakan pandemi lanjut rakyat yg di persulit lanjut aturan kerumunan untuk yg di benci tp untuk yg pro dan keluarga aman dr hukum pilkada po;negatif; Prihatin dg kondisi negri ini di mana Pemimpinnya, yg banyak masalah mulai dari anggap remeh covid, lanjut kelabakan pandemi, lanjut rakyat yg di persulit, lanjut aturan kerumunan untuk yg di benci tp untuk yg pro dan keluarga aman dr hukum, pilkada potensi penyebaran covid, no
tryinsleepvvell;"@aimrod ""Lagi pandemi gini kok malah pilkada"" Dahal orang orang kaga pilkada juga kumpul kumpul. Aku sendiri kemarin jaga tps. Kalo di aku bnr2 nggk ada antrian. Memang tiap warga ada jamnya sendiri. Dan di tps ku kemarin nggk serame di coffeshop2 sih dan";positif;" ""Lagi pandemi gini kok malah pilkada"" Dahal orang orang kaga pilkada juga kumpul kumpul. Aku sendiri kemarin jaga tps. Kalo di aku, bnr2 nggk ada antrian. Memang tiap warga ada jamnya sendiri. Dan di tps ku kemarin nggk serame di coffeshop2 sih dan yg dateng pada taat semua."
nufel;@jokowi Yang lalai itu yg tahu sdg pandemi tapi tetap menggelar Pilkada.;negatif; Yang lalai itu yg tahu sdg pandemi tapi tetap menggelar Pilkada.
echopir;@jokowi iyaiya... masih pandemi.  kemarin pilkada aja tetap berlangsung walaupun banyak petugasnya pada positif  https://t.co/a6iNFkwLIg;negatif; iya,iya... masih pandemi.  kemarin pilkada aja tetap berlangsung, walaupun banyak petugasnya pada positif  https://t.co/a6iNFkwLIg
kartuprankerja;@republikaonline Siapa bilang kita diam kita bersuara utk tunda pilkada saat pandemi..bapak bersuara kah..?!;negatif; Siapa bilang kita diam, kita bersuara utk tunda pilkada saat pandemi..bapak bersuara kah..?!
jamil_riyon;@itsme_ini Yang bikin pilkada di saat pandemi tangkap...biar adil;negatif; Yang bikin pilkada di saat pandemi tangkap...biar adil
mekos12554651;@alexander_murfi Bukan salah pelaku tapi salah peraturan KPU . Kenapa masa pandemi ada pilkada kok tidak  dikajidulu dampaknya. Gimana baiknya.;negatif; Bukan salah pelaku tapi salah peraturan KPU . Kenapa masa pandemi ada pilkada kok tidak  dikajidulu dampaknya. Gimana baiknya.
aryprasetyo85;Azis mengapresiasi keberhasilan ini berkat kerja sama antarlembaga dalam penyelenggaraan pilkada serentak 2020. Tantangan perhelatan ini sangat besar mulai dari pandemi Covid-19 hingga menjaga mutu demokrasi. @jokowi @KPK_RI @KSPgoid @SatyaJogja_ @Cahaya_B  https://t.co/CX1bHdZXYF;positif;Azis mengapresiasi keberhasilan ini berkat kerja sama antarlembaga dalam penyelenggaraan pilkada serentak 2020. Tantangan perhelatan ini sangat besar mulai dari pandemi Covid-19 hingga menjaga mutu demokrasi.  @KPK_RI @KSPgoid @SatyaJogja_ @Cahaya_B  https://t.co/CX1bHdZXYF
celebesid_;@zarazettirazr @republikaonline Harusnya kalau pernyataannya begini .. kita sebagai rakyat yg sangat marah . Awal pandemi ada yg main tiktok . Ada yg promosi traveling  sampai terakhir ada yg gelar pilkada . Trus dia ngomong untuk siapa ya ?;negatif; @republikaonline Harusnya kalau pernyataannya begini .. kita sebagai rakyat yg sangat marah . Awal pandemi ada yg main tiktok . Ada yg promosi traveling , sampai terakhir ada yg gelar pilkada . Trus dia ngomong untuk siapa ya ?
omar2000nur;MANTAAPPP  si fadhil sdg mengkritik keras pelaksanaan PILKADA di tengah PANDEMI COVID 19  cc @KPU_ID @bawaslu_RI @mohmahfudmd @Kemendagri_RI @DPR_RI;negatif;MANTAAPPP  si fadhil sdg mengkritik keras pelaksanaan PILKADA di tengah PANDEMI COVID 19  cc  @bawaslu_RI @mohmahfudmd @Kemendagri_RI @DPR_RI
henkmizell;@detikcom *BAWA MAYATNYA KE ISTANA KARNA PRESIDEN HARUS BERTANGGUNG JAWAB ATAS PERINTAH PILKADA HARUS BERLANGSUNG DIKALA MASIH PANDEMI COVID!;negatif; *BAWA MAYATNYA KE ISTANA, KARNA PRESIDEN HARUS BERTANGGUNG JAWAB ATAS PERINTAH PILKADA HARUS BERLANGSUNG DIKALA MASIH PANDEMI COVID!
sudastika;12) Pertimbangan lain yg mendorong penyelenggaraan Pilkada mesti tetap berlangsung selain krn amanat Undang-Undang juga krn tak ada satu org pun yg tahu kapan pandemi akan berakhir.  https://t.co/jqlNti1WGE #PilkadaBerjalanSukses @TogogEDANneh @Flamboyan59 @petanibiasasaja;positif;12) Pertimbangan lain yg mendorong penyelenggaraan Pilkada mesti tetap berlangsung selain krn amanat Undang-Undang, juga krn tak ada satu org pun yg tahu kapan pandemi akan berakhir.  https://t.co/jqlNti1WGE #PilkadaBerjalanSukses  @Flamboyan59 @petanibiasasaja
arbzed;@opaopao19996829 @soylana_ @txtdrpemerintah ya gue juga salah satu orang yang ga setuju dan protes keras soal pilkada ditengah pandemi. ga cm soal rijik kok nang aja gw bukan cebong gw bukan kampret wkwkwkwk;negatif; @soylana_ @txtdrpemerintah ya gue juga salah satu orang yang ga setuju dan protes keras soal pilkada ditengah pandemi. ga cm soal rijik kok, nang aja gw bukan cebong, gw bukan kampret wkwkwkwk
7sevenastra;@areeff @geloraco Acara taun baru di larang alasan pandemi... Pilkada kagak komen lo PDIP sialan. Kumpulan para bajingan;negatif; @geloraco Acara taun baru di larang alasan pandemi... Pilkada kagak komen lo, PDIP sialan. Kumpulan para bajingan,
bubun_ali;@tikoubeast @kompascom Selama pandemi corona ada banyak peristiwa berkumpulnya orang-orang seperti kemarin demo yg dihadiri ribuan orang menentang omni bus law kampanye pilkada yg dihadiri ribuan orang haul Abah Uci Banten dihadiri ribuan orang...artinya ;negatif; @kompascom Selama pandemi corona ada banyak peristiwa berkumpulnya orang-orang seperti kemarin demo yg dihadiri ribuan orang menentang omni bus law, kampanye pilkada yg dihadiri ribuan orang, haul Abah Uci Banten dihadiri ribuan orang...artinya kegoblogan dan ketololan  lo memang akut...
ali_gilbran;"@naajich @Nyenyen18983370 @QaillaAsyiqah Etis kah? Lagi pandemi tetap menyelenggarakan pilkada?gabisa ditunda apa?penting mana kesembuhan indo dari pandemi melalui vaksinapa pemilihan kepala daerah?""ini bukan soal cebong kadrunini soal kemanusiaan""-Dr Tir";negatif;" @Nyenyen18983370 @QaillaAsyiqah Etis kah? Lagi pandemi tetap menyelenggarakan pilkada?gabisa ditunda apa?penting mana kesembuhan indo dari pandemi melalui vaksin,apa pemilihan kepala daerah?""ini bukan soal cebong kadrun,ini soal kemanusiaan""-Dr Tirta"
